1,1,2000-07-17,95.32
7,1,2000-02-07,92.49
27,1,2000-06-19,97.85
29,1,2000-02-05,94.0
41,1,2000-01-24,92.33
46,1,2000-09-06,95.87
66,1,2000-07-14,91.86
68,1,2000-11-17,90.35
77,1,2000-03-18,96.52
83,1,2000-02-26,99.5
117,1,2000-08-21,98.9
132,1,2000-12-03,98.24
144,1,2000-02-23,95.38
152,1,2000-09-23,99.63
153,1,2000-10-16,97.56
156,1,2000-03-22,94.74
169,1,2000-04-20,99.84
184,1,2000-02-29,99.59
188,1,2000-08-07,94.61
210,1,2000-06-15,98.92
211,1,2000-07-30,92.9
330,1,2000-12-12,92.77
339,1,2000-12-25,97.05
353,1,2000-06-09,97.54
366,1,2000-08-06,95.67
370,1,2000-07-26,91.68
373,1,2000-10-12,92.92
375,1,2000-08-10,94.17
414,1,2000-09-20,91.92
428,1,2000-08-10,96.78
451,1,2000-04-23,96.15
454,1,2000-06-25,97.09
460,1,2000-06-27,96.78
461,1,2000-05-14,94.0
476,1,2000-08-18,99.21
485,1,2000-12-05,96.02
487,1,2000-11-26,96.24
491,1,2000-04-09,90.07
496,1,2000-10-15,96.18
499,1,2000-10-05,90.5
526,1,2000-10-06,97.89
543,1,2000-06-24,93.09
556,1,2000-09-21,97.73
566,1,2000-10-06,94.63
568,1,2000-05-26,98.55
574,1,2000-09-08,95.95
576,1,2000-08-26,96.72
582,1,2000-01-20,91.68
589,1,2000-11-01,97.69
590,1,2000-05-17,95.38
603,1,2000-06-03,99.8
610,1,2000-07-05,97.59
635,1,2000-12-24,95.71
666,1,2000-12-07,92.45
686,1,2000-06-20,98.69
692,1,2000-01-24,92.81
703,1,2000-09-06,90.66
717,1,2000-02-16,97.41
720,1,2000-09-01,95.52
721,1,2000-10-07,97.96
741,1,2000-11-30,91.34
754,1,2000-01-02,95.38
755,1,2000-10-02,90.56
763,1,2000-09-25,98.75
779,1,2000-09-02,97.92
783,1,2000-03-21,94.73
796,1,2000-04-01,95.88
798,1,2000-08-03,91.68
826,1,2000-03-16,99.45
829,1,2000-03-20,90.46
868,1,2000-09-06,98.84
872,1,2000-07-15,92.13
877,1,2000-01-04,96.62
892,1,2000-01-23,97.43
895,1,2000-09-09,99.82
899,1,2000-02-08,98.77
917,1,2000-09-08,99.38
933,1,2000-04-03,94.54
934,1,2000-12-14,94.01
977,1,2000-04-03,90.29
981,1,2000-12-27,99.18
982,1,2000-12-27,97.32
984,1,2000-02-19,97.63
988,1,2000-04-11,95.79
1003,1,2000-11-28,94.34
1010,1,2000-07-09,93.47
1018,1,2000-04-02,93.68
1026,1,2000-03-16,93.39
1056,1,2000-08-03,95.31
1067,1,2000-06-20,93.87
1077,1,2000-11-21,90.66
1079,1,2000-05-08,99.58
1092,1,2000-02-07,98.95
1102,1,2000-01-17,92.3
1115,1,2000-07-28,93.13
1154,1,2000-01-01,93.5
1172,1,2000-08-10,92.97
1182,1,2000-09-07,97.01
1200,1,2000-02-23,93.86
1253,1,2000-02-02,92.11
1254,1,2000-05-05,94.92
1262,1,2000-04-28,98.63
1273,1,2000-05-21,98.61
1309,1,2000-06-29,93.72
1321,1,2000-04-14,95.21
