14,2000-11-30,99.4,1
21,2000-11-30,93.56,1
35,2000-03-16,90.8,1
51,2000-09-16,90.89,1
66,2000-04-24,95.05,1
69,2000-03-30,98.66,1
78,2000-09-24,96.52,1
85,2000-03-17,99.52,1
89,2000-04-01,95.28,1
115,2000-05-23,90.47,1
143,2000-08-02,93.05,1
158,2000-10-22,99.4,1
167,2000-09-05,99.09,1
173,2000-04-10,94.93,1
189,2000-01-15,91.92,1
194,2000-03-10,91.29,1
196,2000-02-14,95.31,1
198,2000-06-21,95.88,1
204,2000-12-03,93.24,1
224,2000-07-10,99.99,1
303,2000-04-30,95.63,1
313,2000-07-17,90.06,1
318,2000-04-08,93.12,1
322,2000-01-28,96.35,1
339,2000-07-31,96.42,1
349,2000-04-09,99.89,1
350,2000-03-07,90.82,1
362,2000-07-15,90.79,1
369,2000-11-04,92.93,1
376,2000-02-20,92.8,1
378,2000-12-27,95.41,1
391,2000-10-25,92.49,1
415,2000-04-26,90.73,1
426,2000-11-04,92.06,1
433,2000-04-20,95.21,1
445,2000-09-16,91.3,1
458,2000-01-03,98.73,1
465,2000-05-01,91.49,1
476,2000-01-14,96.46,1
480,2000-03-17,98.02,1
485,2000-02-15,95.5,1
489,2000-02-08,90.48,1
505,2000-08-14,95.09,1
512,2000-06-28,90.23,1
545,2000-03-20,91.82,1
546,2000-12-09,95.29,1
553,2000-04-08,98.68,1
560,2000-06-23,95.78,1
561,2000-05-10,92.05,1
576,2000-07-22,93.64,1
604,2000-10-26,92.67,1
610,2000-05-07,98.55,1
616,2000-01-05,92.6,1
618,2000-02-03,94.66,1
627,2000-07-15,95.63,1
628,2000-02-29,95.21,1
636,2000-01-30,94.96,1
666,2000-04-22,93.93,1
689,2000-03-09,91.69,1
693,2000-11-06,99.97,1
725,2000-05-20,98.57,1
726,2000-10-10,92.93,1
764,2000-03-12,93.68,1
772,2000-09-11,95.47,1
777,2000-12-05,90.33,1
778,2000-09-22,92.5,1
785,2000-10-21,99.05,1
791,2000-02-12,90.3,1
793,2000-01-18,92.14,1
795,2000-04-20,90.01,1
802,2000-01-27,92.63,1
805,2000-10-06,94.15,1
807,2000-12-02,91.14,1
813,2000-12-15,95.41,1
834,2000-05-11,96.97,1
835,2000-10-06,92.04,1
844,2000-10-26,95.13,1
853,2000-01-24,99.22,1
863,2000-03-21,99.42,1
873,2000-12-16,90.11,1
906,2000-07-12,92.75,1
910,2000-04-13,90.23,1
917,2000-01-16,91.55,1
926,2000-04-14,98.72,1
929,2000-09-08,97.43,1
941,2000-10-13,95.09,1
964,2000-01-25,97.29,1
